epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.2325,1.2959,2.16017,1.10595,0.89139,0.77601,0.84697,0.52009,1.2318,1.50202,1.17783,0.000665091,0.000665091,0.000665091
2,119.052,1.3269,1.25483,1.13982,0.88033,0.73555,0.83095,0.50614,1.28866,1.02721,1.17792,0.00131857,0.00131857,0.00131857
3,170.767,1.32781,1.06273,1.13625,0.88705,0.7831,0.87162,0.53113,1.30676,0.97963,1.21222,0.00195886,0.00195886,0.00195886
4,222.345,1.3069,0.97955,1.13851,0.92539,0.78861,0.89178,0.56413,1.24038,0.84543,1.14349,0.0019406,0.0019406,0.0019406
5,273.943,1.28218,0.92455,1.1147,0.88139,0.80536,0.88271,0.5744,1.2177,0.87523,1.12416,0.0019208,0.0019208,0.0019208
6,325.694,1.26221,0.90149,1.10142,0.88543,0.85997,0.9267,0.60051,1.16127,0.75674,1.10879,0.001901,0.001901,0.001901
7,377.662,1.23458,0.86532,1.10029,0.88861,0.86705,0.92396,0.60946,1.15477,0.75672,1.09397,0.0018812,0.0018812,0.0018812
8,429.212,1.23101,0.82042,1.08951,0.89334,0.8526,0.91392,0.55787,1.20217,0.78532,1.14848,0.0018614,0.0018614,0.0018614
9,480.532,1.23281,0.8025,1.07429,0.92268,0.87717,0.94093,0.63489,1.09238,0.68193,1.07414,0.0018416,0.0018416,0.0018416
10,532.7,1.18798,0.78559,1.06959,0.88881,0.86416,0.92978,0.63567,1.10311,0.67744,1.063,0.0018218,0.0018218,0.0018218
11,584.182,1.16477,0.74658,1.05046,0.92674,0.87139,0.94161,0.63871,1.09287,0.64182,1.06524,0.001802,0.001802,0.001802
12,635.532,1.17054,0.74276,1.04631,0.91731,0.88873,0.94777,0.63464,1.11043,0.66967,1.06793,0.0017822,0.0017822,0.0017822
13,686.985,1.15483,0.72459,1.04648,0.90148,0.87717,0.93624,0.63713,1.08616,0.64758,1.05283,0.0017624,0.0017624,0.0017624
14,738.23,1.15454,0.7287,1.04748,0.93947,0.89723,0.95334,0.65902,1.05035,0.63145,1.04353,0.0017426,0.0017426,0.0017426
15,789.926,1.13448,0.70256,1.03223,0.9196,0.86561,0.93431,0.64057,1.08136,0.6595,1.04826,0.0017228,0.0017228,0.0017228
16,840.948,1.13164,0.69687,1.03749,0.93141,0.88301,0.94419,0.6504,1.08229,0.62992,1.04736,0.001703,0.001703,0.001703
17,892.087,1.12751,0.67852,1.03639,0.94307,0.86416,0.94644,0.65386,1.06315,0.62351,1.04249,0.0016832,0.0016832,0.0016832
18,943.138,1.11935,0.67421,1.02974,0.94421,0.88041,0.95016,0.65803,1.04477,0.60543,1.04137,0.0016634,0.0016634,0.0016634
19,994.005,1.10079,0.66472,1.01526,0.93104,0.91185,0.95525,0.65906,1.0567,0.58961,1.03497,0.0016436,0.0016436,0.0016436
20,1045.2,1.11,0.66817,1.01913,0.92865,0.89017,0.95094,0.65829,1.06006,0.609,1.03921,0.0016238,0.0016238,0.0016238
21,1096.62,1.09628,0.65024,1.01828,0.94334,0.89018,0.95337,0.65251,1.07662,0.59461,1.03901,0.001604,0.001604,0.001604
22,1147.88,1.09737,0.63543,1.00642,0.9444,0.90318,0.96007,0.67705,1.02468,0.56607,1.01271,0.0015842,0.0015842,0.0015842
23,1198.81,1.11737,0.64525,1.02381,0.93716,0.92674,0.96501,0.67396,1.06102,0.57389,1.04295,0.0015644,0.0015644,0.0015644
24,1250.19,1.07253,0.62245,1.00367,0.94593,0.89884,0.96226,0.65042,1.04728,0.56542,1.02864,0.0015446,0.0015446,0.0015446
25,1301.36,1.06757,0.61986,0.99784,0.93064,0.88439,0.95675,0.6669,1.03171,0.57343,1.01642,0.0015248,0.0015248,0.0015248
26,1352.75,1.0759,0.62423,1.0052,0.94093,0.89595,0.9551,0.67543,1.01964,0.55988,1.01783,0.001505,0.001505,0.001505
27,1403.86,1.06473,0.61098,1.0037,0.93806,0.91922,0.96485,0.68172,1.03392,0.54852,1.02259,0.0014852,0.0014852,0.0014852
28,1454.78,1.06695,0.61422,1.00119,0.9443,0.9263,0.96707,0.68438,1.02869,0.53432,1.02005,0.0014654,0.0014654,0.0014654
29,1505.81,1.07708,0.60892,1.00567,0.95322,0.91292,0.96533,0.68801,1.00057,0.53324,1.00129,0.0014456,0.0014456,0.0014456
30,1556.82,1.0628,0.60407,0.99964,0.92409,0.93642,0.96325,0.69359,1.00924,0.52876,1.02189,0.0014258,0.0014258,0.0014258
31,1607.85,1.06256,0.5971,0.99839,0.93576,0.92919,0.96278,0.68205,1.01436,0.54449,1.01763,0.001406,0.001406,0.001406
32,1658.94,1.04677,0.60348,0.9946,0.93954,0.90607,0.95558,0.67763,1.03042,0.54291,1.01697,0.0013862,0.0013862,0.0013862
33,1710.06,1.05171,0.59336,0.9962,0.93344,0.91204,0.9665,0.69884,0.98634,0.51234,1.0011,0.0013664,0.0013664,0.0013664
34,1761.3,1.0434,0.57889,0.99104,0.92616,0.92445,0.96174,0.67473,1.01083,0.52272,1.00762,0.0013466,0.0013466,0.0013466
35,1812.28,1.05527,0.58207,0.99698,0.93764,0.91259,0.96087,0.69435,0.99316,0.51522,1.00017,0.0013268,0.0013268,0.0013268
36,1863.45,1.02633,0.573,0.98353,0.96314,0.91763,0.96966,0.69776,0.98296,0.50345,1.00278,0.001307,0.001307,0.001307
37,1914.36,1.03004,0.5635,0.98915,0.952,0.8974,0.96166,0.69095,1.0188,0.51334,1.01548,0.0012872,0.0012872,0.0012872
38,1965.56,1.02461,0.56361,0.98667,0.94368,0.92341,0.96728,0.68969,1.00676,0.5089,1.01045,0.0012674,0.0012674,0.0012674
39,2016.41,1.02541,0.55514,0.98197,0.95906,0.90462,0.96738,0.68707,1.01402,0.5019,1.00891,0.0012476,0.0012476,0.0012476
40,2067.8,1.02873,0.5632,0.9907,0.94652,0.92486,0.97117,0.6902,1.00462,0.51139,1.00958,0.0012278,0.0012278,0.0012278
41,2118.46,1.03762,0.56633,0.98789,0.96085,0.92202,0.9659,0.68952,0.99659,0.5044,0.99865,0.001208,0.001208,0.001208
42,2169.95,1.02226,0.5536,0.98525,0.94005,0.9263,0.96191,0.69242,1.00334,0.49905,0.99788,0.0011882,0.0011882,0.0011882
43,2221.16,1.01335,0.54819,0.98669,0.93193,0.93642,0.96595,0.68921,0.99616,0.50757,1.00772,0.0011684,0.0011684,0.0011684
44,2272.5,1.0196,0.54688,0.97495,0.94926,0.91915,0.96788,0.6918,1.00766,0.49883,1.01168,0.0011486,0.0011486,0.0011486
45,2323.48,1.01598,0.54237,0.97076,0.95975,0.93031,0.97028,0.70606,0.98231,0.49487,0.99555,0.0011288,0.0011288,0.0011288
46,2374.64,1.00379,0.54039,0.97462,0.95373,0.92331,0.96705,0.69979,0.97764,0.5071,0.98537,0.001109,0.001109,0.001109
47,2426.02,0.98934,0.5323,0.97506,0.95007,0.92341,0.96783,0.70223,1.00904,0.4932,1.01225,0.0010892,0.0010892,0.0010892
48,2477.49,0.99943,0.53027,0.97031,0.96251,0.9276,0.97018,0.69272,1.00749,0.48657,1.00408,0.0010694,0.0010694,0.0010694
49,2528.51,0.99508,0.53301,0.97089,0.94465,0.93064,0.96873,0.7103,0.97721,0.48245,0.99228,0.0010496,0.0010496,0.0010496
50,2579.63,0.9914,0.52754,0.97416,0.94692,0.92799,0.96735,0.6988,0.99663,0.49331,0.99559,0.0010298,0.0010298,0.0010298
51,2630.96,0.98532,0.51056,0.96169,0.95359,0.93208,0.96934,0.70194,0.98252,0.48504,0.99303,0.00101,0.00101,0.00101
52,2681.75,0.98422,0.51899,0.9657,0.95698,0.93222,0.97066,0.69826,0.99477,0.47536,0.99356,0.0009902,0.0009902,0.0009902
53,2732.93,0.97056,0.50516,0.9595,0.95024,0.93826,0.96972,0.70829,0.95814,0.46781,0.97842,0.0009704,0.0009704,0.0009704
54,2784.03,0.98034,0.49867,0.95797,0.95063,0.94075,0.97086,0.70929,0.98042,0.46368,0.99373,0.0009506,0.0009506,0.0009506
55,2835.35,0.97077,0.51454,0.96223,0.94964,0.92644,0.97101,0.70642,0.98632,0.4817,0.98844,0.0009308,0.0009308,0.0009308
56,2886.24,0.97396,0.49978,0.96309,0.95922,0.91773,0.97185,0.7016,0.9966,0.47474,0.99166,0.000911,0.000911,0.000911
57,2937.5,0.95599,0.5035,0.95661,0.96633,0.91329,0.9737,0.71714,0.96874,0.45699,0.98211,0.0008912,0.0008912,0.0008912
58,2988.75,0.97678,0.50679,0.96468,0.94942,0.9223,0.97035,0.70778,0.98285,0.47471,0.98525,0.0008714,0.0008714,0.0008714
59,3039.88,0.96566,0.49807,0.95386,0.95358,0.92341,0.97097,0.70952,0.96877,0.47036,0.97871,0.0008516,0.0008516,0.0008516
60,3091.11,0.96149,0.49519,0.96121,0.94972,0.91908,0.97128,0.71512,0.95415,0.45986,0.97726,0.0008318,0.0008318,0.0008318
61,3142.21,0.96668,0.48673,0.96026,0.94991,0.92486,0.96719,0.70722,0.95725,0.45509,0.97947,0.000812,0.000812,0.000812
62,3193.26,0.96189,0.48114,0.95094,0.96331,0.92919,0.97249,0.71036,0.97311,0.45233,0.98176,0.0007922,0.0007922,0.0007922
63,3244.57,0.93953,0.47967,0.94742,0.95176,0.9263,0.97071,0.70837,0.96415,0.45328,0.97476,0.0007724,0.0007724,0.0007724
64,3295.68,0.94481,0.47557,0.94877,0.95888,0.92341,0.97148,0.7117,0.9661,0.45943,0.97859,0.0007526,0.0007526,0.0007526
65,3346.72,0.94189,0.48697,0.94652,0.96546,0.92197,0.97523,0.70712,0.97511,0.45254,0.98787,0.0007328,0.0007328,0.0007328
66,3397.96,0.94031,0.46909,0.948,0.95564,0.93405,0.97282,0.70545,0.99344,0.45732,0.99396,0.000713,0.000713,0.000713
67,3449.35,0.94031,0.47557,0.94584,0.95059,0.93497,0.97266,0.7099,0.97793,0.44459,0.98844,0.0006932,0.0006932,0.0006932
68,3500.13,0.92615,0.46772,0.94065,0.9535,0.92486,0.97067,0.71472,0.96928,0.4479,0.97974,0.0006734,0.0006734,0.0006734
69,3551.2,0.93282,0.46556,0.94198,0.95029,0.93917,0.97589,0.7093,0.98634,0.44731,0.98534,0.0006536,0.0006536,0.0006536
70,3603.06,0.93735,0.4677,0.94553,0.95834,0.93068,0.9755,0.71684,0.97685,0.44103,0.98305,0.0006338,0.0006338,0.0006338
71,3653.98,0.93599,0.46762,0.94812,0.95933,0.92341,0.97134,0.71765,0.97127,0.44225,0.98678,0.000614,0.000614,0.000614
72,3704.95,0.92043,0.45929,0.94673,0.96278,0.92197,0.97409,0.71916,0.97203,0.44227,0.9837,0.0005942,0.0005942,0.0005942
73,3756.11,0.91083,0.45817,0.9341,0.9534,0.92197,0.97284,0.71303,0.95588,0.44703,0.98119,0.0005744,0.0005744,0.0005744
74,3807.29,0.90664,0.45632,0.93988,0.96249,0.92697,0.97333,0.71098,0.96569,0.44878,0.98373,0.0005546,0.0005546,0.0005546
75,3859.24,0.91627,0.45515,0.93712,0.96088,0.92285,0.97373,0.71623,0.97649,0.43988,0.98165,0.0005348,0.0005348,0.0005348
76,3910.65,0.89396,0.44018,0.932,0.9566,0.92377,0.97359,0.71977,0.95328,0.43296,0.97281,0.000515,0.000515,0.000515
77,3961.63,0.89942,0.45001,0.93738,0.95938,0.92052,0.97378,0.72303,0.9638,0.43378,0.97746,0.0004952,0.0004952,0.0004952
78,4012.81,0.89803,0.44768,0.93159,0.95402,0.92956,0.97455,0.71656,0.96191,0.42508,0.97897,0.0004754,0.0004754,0.0004754
79,4063.96,0.90165,0.44665,0.93625,0.96452,0.92052,0.97415,0.71842,0.9547,0.42365,0.97935,0.0004556,0.0004556,0.0004556
80,4115.1,0.8872,0.44054,0.93682,0.95664,0.9245,0.974,0.71584,0.97148,0.42723,0.98305,0.0004358,0.0004358,0.0004358
81,4165.95,0.88763,0.43216,0.93117,0.95545,0.92973,0.97628,0.72346,0.94438,0.42412,0.97519,0.000416,0.000416,0.000416
82,4217.39,0.88582,0.43632,0.93099,0.96207,0.91628,0.97424,0.71674,0.95523,0.42518,0.97565,0.0003962,0.0003962,0.0003962
83,4268.5,0.88039,0.43146,0.92896,0.95864,0.92486,0.97554,0.71727,0.95582,0.42474,0.97646,0.0003764,0.0003764,0.0003764
