epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,795.037,1.31373,2.19063,1.12667,0.84534,0.75827,0.8464,0.54279,1.21906,1.76537,1.1185,0.000665091,0.000665091,0.000665091
2,1612.41,1.33143,1.27034,1.12346,0.81638,0.72688,0.80046,0.46946,1.30383,1.35871,1.17767,0.00131857,0.00131857,0.00131857
3,2440.99,1.33893,1.07627,1.12723,0.83887,0.72979,0.8258,0.47298,1.31053,1.14466,1.15923,0.00195886,0.00195886,0.00195886
4,3259.74,1.34303,1.01466,1.12929,0.82738,0.78324,0.85336,0.52852,1.24119,1.1702,1.15424,0.0019406,0.0019406,0.0019406
5,4074.3,1.30676,0.98492,1.1138,0.9214,0.8078,0.91598,0.60721,1.19701,0.81713,1.10315,0.0019208,0.0019208,0.0019208
6,4904.97,1.26606,0.89935,1.0933,0.86585,0.75546,0.87084,0.59608,1.10828,0.85829,1.07117,0.001901,0.001901,0.001901
7,5743.06,1.28634,0.88159,1.09757,0.89263,0.83671,0.91746,0.58734,1.18605,0.78381,1.10914,0.0018812,0.0018812,0.0018812
8,6570.49,1.24296,0.83676,1.08598,0.90621,0.87283,0.93649,0.63658,1.10322,0.72751,1.06654,0.0018614,0.0018614,0.0018614
9,7401.83,1.21432,0.80764,1.06926,0.91868,0.88152,0.94209,0.62499,1.11027,0.72162,1.05508,0.0018416,0.0018416,0.0018416
10,8226.44,1.19515,0.77299,1.05425,0.90672,0.85682,0.92339,0.61247,1.12813,0.73111,1.06119,0.0018218,0.0018218,0.0018218
11,9061.48,1.20139,0.77649,1.05441,0.91091,0.84538,0.92251,0.61938,1.1177,0.72656,1.05875,0.001802,0.001802,0.001802
12,9891.54,1.1935,0.76198,1.05422,0.91674,0.87428,0.94112,0.64114,1.1045,0.66234,1.05925,0.0017822,0.0017822,0.0017822
13,10712.6,1.17735,0.736,1.03814,0.9272,0.87139,0.93824,0.63374,1.08222,0.69853,1.04121,0.0017624,0.0017624,0.0017624
14,11549.5,1.16105,0.75859,1.03761,0.91744,0.85838,0.92353,0.61923,1.1136,0.73911,1.04483,0.0017426,0.0017426,0.0017426
15,12398,1.16409,0.74713,1.03871,0.9163,0.87014,0.93048,0.60561,1.09183,0.6936,1.05207,0.0017228,0.0017228,0.0017228
16,13223.9,1.1535,0.70735,1.04091,0.93471,0.88956,0.94903,0.64299,1.07055,0.66689,1.04187,0.001703,0.001703,0.001703
17,14054,1.14981,0.68721,1.02799,0.9319,0.88983,0.94904,0.6602,1.05963,0.60858,1.01713,0.0016832,0.0016832,0.0016832
18,14888.4,1.13758,0.68382,1.02727,0.92117,0.89504,0.94416,0.65201,1.05119,0.6433,1.02507,0.0016634,0.0016634,0.0016634
19,15729.2,1.11518,0.67962,1.01523,0.94328,0.89451,0.95914,0.65521,1.05441,0.59939,1.01831,0.0016436,0.0016436,0.0016436
20,16569.5,1.12479,0.67394,1.01913,0.94189,0.91343,0.959,0.67016,1.02431,0.58993,1.01622,0.0016238,0.0016238,0.0016238
21,17421.6,1.10512,0.63251,1.01311,0.94202,0.89224,0.95194,0.65182,1.08903,0.59663,1.03004,0.001604,0.001604,0.001604
