epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,787.857,1.27511,2.23803,1.09672,0.85975,0.6821,0.79744,0.52782,1.1816,1.85855,1.07765,0.000663522,0.000663522,0.000663522
2,1565.65,1.28096,1.26301,1.07972,0.83137,0.76445,0.84208,0.53207,1.25014,1.31403,1.15638,0.00106681,0.00106681,0.00106681
3,2489.24,1.25824,1.01383,1.08393,0.87787,0.7659,0.87746,0.58531,1.16787,0.99617,1.10802,0.0012061,0.0012061,0.0012061
4,3400.34,1.19681,0.8375,1.0465,0.91088,0.87145,0.93075,0.62383,1.10058,0.81607,1.04618,0.000812,0.000812,0.000812
5,4285.43,1.1177,0.7431,1.01184,0.91447,0.87861,0.94951,0.66054,1.05895,0.66367,1.02682,0.000416,0.000416,0.000416
