epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3126.15,1.06539,0.56559,1.00585,0.93356,0.8339,0.89643,0.61556,1.05902,0.51728,0.99534,0.0011882,0.0011882,0.0011882
43,3199.64,1.06894,0.57206,1.00297,0.93099,0.82551,0.89568,0.61534,1.05726,0.53343,0.99457,0.0011684,0.0011684,0.0011684
44,3273.16,1.06001,0.5524,0.99681,0.9281,0.84609,0.89808,0.6166,1.06224,0.51608,0.99947,0.0011486,0.0011486,0.0011486
45,3346.6,1.08156,0.56623,1.00242,0.93438,0.83171,0.89114,0.61349,1.0657,0.51673,0.99495,0.0011288,0.0011288,0.0011288
46,3419.97,1.05041,0.55753,1.0011,0.93522,0.83525,0.89842,0.62028,1.04641,0.51187,0.9923,0.001109,0.001109,0.001109
47,3493.56,1.04795,0.54719,0.99622,0.9075,0.84291,0.89316,0.61271,1.04798,0.5184,0.99408,0.0010892,0.0010892,0.0010892
48,3566.92,1.04277,0.55424,0.99423,0.91786,0.85651,0.90581,0.61839,1.05825,0.51747,0.99625,0.0010694,0.0010694,0.0010694
49,3639.97,1.04965,0.55857,1.00042,0.90558,0.85798,0.90468,0.62828,1.04,0.50441,0.98664,0.0010496,0.0010496,0.0010496
50,3713.78,1.03813,0.53689,0.98975,0.93294,0.84588,0.90555,0.62245,1.04039,0.49631,0.98702,0.0010298,0.0010298,0.0010298
51,3787.03,1.03109,0.52967,0.99542,0.94111,0.83515,0.89966,0.62189,1.0447,0.49335,0.9907,0.00101,0.00101,0.00101
52,3860.68,1.03579,0.53383,0.99366,0.93538,0.83437,0.90283,0.62288,1.05127,0.50967,0.99134,0.0009902,0.0009902,0.0009902
53,3933.81,1.03116,0.52599,0.99073,0.94389,0.83791,0.90417,0.62162,1.04358,0.50012,0.98762,0.0009704,0.0009704,0.0009704
54,4006.83,1.03644,0.52437,0.98964,0.92628,0.84584,0.90307,0.62586,1.03507,0.49932,0.9867,0.0009506,0.0009506,0.0009506
55,4079.9,1.01778,0.52657,0.98947,0.93271,0.85031,0.90485,0.62254,1.05172,0.49174,0.98986,0.0009308,0.0009308,0.0009308
56,4153.3,1.01511,0.51607,0.98589,0.93544,0.84709,0.9067,0.62701,1.03596,0.48534,0.9898,0.000911,0.000911,0.000911
57,4226.76,1.03093,0.52508,0.99128,0.9224,0.85297,0.90194,0.62808,1.04005,0.48934,0.98859,0.0008912,0.0008912,0.0008912
58,4300.21,1.01576,0.51466,0.98751,0.91716,0.87245,0.90883,0.62872,1.03508,0.48019,0.98506,0.0008714,0.0008714,0.0008714
59,4373.87,0.99741,0.51157,0.98316,0.91214,0.85031,0.89627,0.62706,1.02927,0.47677,0.98225,0.0008516,0.0008516,0.0008516
60,4447.36,1.02661,0.51651,0.98701,0.93497,0.84049,0.89902,0.62517,1.03472,0.48641,0.98707,0.0008318,0.0008318,0.0008318
61,4520.4,1.0108,0.51179,0.98108,0.91905,0.8574,0.90011,0.6249,1.04016,0.49185,0.9848,0.000812,0.000812,0.000812
62,4593.71,1.01608,0.51556,0.98648,0.93325,0.84215,0.90179,0.62885,1.03174,0.48529,0.98603,0.0007922,0.0007922,0.0007922
63,4666.88,1.00219,0.50583,0.98334,0.92669,0.85095,0.90283,0.62923,1.03531,0.48747,0.98159,0.0007724,0.0007724,0.0007724
64,4740.05,0.99705,0.50357,0.98034,0.94473,0.8388,0.90578,0.62516,1.03767,0.47491,0.98088,0.0007526,0.0007526,0.0007526
65,4812.9,0.98595,0.49679,0.97713,0.93538,0.85297,0.90703,0.62928,1.03226,0.48236,0.97972,0.0007328,0.0007328,0.0007328
66,4886.05,0.9836,0.49739,0.97067,0.92909,0.84716,0.90207,0.62886,1.03418,0.48232,0.97917,0.000713,0.000713,0.000713
67,4959.29,0.97792,0.48983,0.97252,0.92837,0.85208,0.90503,0.62398,1.0289,0.46996,0.98247,0.0006932,0.0006932,0.0006932
68,5032.55,0.97752,0.49393,0.97138,0.91104,0.87082,0.904,0.62849,1.03485,0.47116,0.98402,0.0006734,0.0006734,0.0006734
69,5106.11,0.97223,0.49197,0.97122,0.91765,0.85828,0.90527,0.6281,1.0277,0.48352,0.97938,0.0006536,0.0006536,0.0006536
70,5179.7,0.98374,0.47997,0.97566,0.92772,0.85262,0.90387,0.62942,1.02266,0.4759,0.98028,0.0006338,0.0006338,0.0006338
71,5252.44,0.96326,0.47943,0.96898,0.92874,0.8543,0.90507,0.62688,1.03693,0.48228,0.98805,0.000614,0.000614,0.000614
72,5325.62,0.975,0.48358,0.9729,0.92437,0.86271,0.90756,0.63165,1.03135,0.47311,0.98077,0.0005942,0.0005942,0.0005942
73,5398.97,0.97537,0.47914,0.97087,0.9252,0.85455,0.90863,0.63421,1.02649,0.47394,0.97999,0.0005744,0.0005744,0.0005744
74,5473.64,0.9656,0.47422,0.96226,0.92194,0.86005,0.90486,0.62912,1.03054,0.47144,0.9816,0.0005546,0.0005546,0.0005546
75,5547.32,0.95518,0.46869,0.96932,0.92058,0.86714,0.90635,0.63219,1.02768,0.47181,0.98133,0.0005348,0.0005348,0.0005348
76,5620.63,0.96638,0.47413,0.965,0.93979,0.84334,0.9063,0.63471,1.02517,0.47645,0.97877,0.000515,0.000515,0.000515
77,5694.26,0.95397,0.47243,0.96241,0.91283,0.87245,0.90947,0.63267,1.02529,0.46907,0.97927,0.0004952,0.0004952,0.0004952
