epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,788.279,1.27511,2.23803,1.09672,0.85975,0.6821,0.79744,0.52782,1.1816,1.85855,1.07765,0.000663522,0.000663522,0.000663522
2,1562.99,1.31553,1.30601,1.10075,0.81537,0.7403,0.79767,0.4888,1.31273,1.49503,1.19911,0.00126434,0.00126434,0.00126434
3,2340.87,1.30612,1.07199,1.11893,0.84107,0.75,0.83181,0.51005,1.35074,1.10685,1.16981,0.00179917,0.00179917,0.00179917
4,3115.26,1.29589,0.96419,1.09429,0.88368,0.79335,0.8797,0.55473,1.25858,1.03246,1.12561,0.001703,0.001703,0.001703
5,3887.73,1.24785,0.90084,1.07924,0.90173,0.80058,0.90094,0.58585,1.18421,0.82896,1.10641,0.001604,0.001604,0.001604
6,4667.96,1.22124,0.85232,1.07107,0.92163,0.84249,0.93192,0.62111,1.13483,0.72664,1.06928,0.001505,0.001505,0.001505
