epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.52,1.56895,2.07456,1.13565,0.79475,0.65607,0.72237,0.41834,1.36587,1.64669,1.16378,0.000665879,0.000665879,0.000665879
2,468.32,1.56958,1.46755,1.14783,0.81556,0.71243,0.78191,0.46229,1.29505,1.27715,1.13139,0.00131935,0.00131935,0.00131935
3,697.423,1.52678,1.22011,1.14491,0.85135,0.70665,0.77924,0.45317,1.39381,1.11726,1.15776,0.00195963,0.00195963,0.00195963
4,928.935,1.52308,1.17911,1.14927,0.85662,0.75,0.8114,0.49923,1.23782,0.93437,1.10763,0.0019406,0.0019406,0.0019406
5,1158.4,1.46457,1.11916,1.10289,0.88721,0.71609,0.80499,0.49767,1.2788,1.01104,1.11827,0.0019208,0.0019208,0.0019208
6,1389.2,1.44707,1.09409,1.09811,0.88975,0.74711,0.83631,0.53129,1.19524,0.87772,1.07149,0.001901,0.001901,0.001901
7,1618.28,1.41742,0.98171,1.08543,0.90184,0.78333,0.85923,0.55765,1.16527,0.81442,1.07137,0.0018812,0.0018812,0.0018812
8,1848.29,1.39334,0.96233,1.08635,0.92517,0.76829,0.84721,0.50878,1.23867,0.82523,1.08789,0.0018614,0.0018614,0.0018614
9,2076.61,1.38906,0.93964,1.06073,0.91942,0.78757,0.87346,0.56063,1.18082,0.78658,1.0603,0.0018416,0.0018416,0.0018416
10,2313.74,1.36449,0.8834,1.07102,0.91066,0.76597,0.86519,0.55475,1.12969,0.77025,1.04945,0.0018218,0.0018218,0.0018218
11,2547.3,1.33884,0.90145,1.05621,0.89634,0.77746,0.85192,0.53588,1.19474,0.82401,1.06481,0.001802,0.001802,0.001802
12,2791.74,1.33573,0.87744,1.05431,0.90691,0.78035,0.85566,0.53715,1.24294,0.79231,1.0698,0.0017822,0.0017822,0.0017822
13,3059.07,1.34909,0.86245,1.05151,0.90603,0.78022,0.86624,0.5639,1.12165,0.73545,1.03747,0.0017624,0.0017624,0.0017624
14,3294.7,1.30309,0.82092,1.03797,0.88856,0.80654,0.87565,0.56805,1.12479,0.69548,1.04045,0.0017426,0.0017426,0.0017426
15,3531.84,1.29031,0.81131,1.02692,0.90749,0.81069,0.88976,0.57016,1.10181,0.69381,1.031,0.0017228,0.0017228,0.0017228
16,3765.15,1.29796,0.8356,1.03259,0.9282,0.8033,0.8818,0.59019,1.08008,0.68145,1.01424,0.001703,0.001703,0.001703
17,4000.94,1.31372,0.83399,1.04252,0.92941,0.81819,0.90235,0.59962,1.08604,0.65116,1.01401,0.0016832,0.0016832,0.0016832
18,4232.97,1.2524,0.78621,1.01705,0.91304,0.83445,0.90601,0.59214,1.10185,0.63668,1.01956,0.0016634,0.0016634,0.0016634
19,4464.14,1.23442,0.7558,1.00601,0.89425,0.82081,0.88526,0.58782,1.1054,0.65829,1.02475,0.0016436,0.0016436,0.0016436
20,4697.69,1.26469,0.79101,1.02627,0.94318,0.81554,0.89674,0.58454,1.1103,0.65398,1.02738,0.0016238,0.0016238,0.0016238
21,4929.05,1.23109,0.75126,1.0111,0.92389,0.80692,0.89145,0.58806,1.10687,0.64787,1.02589,0.001604,0.001604,0.001604
22,5159.49,1.24045,0.76277,1.02589,0.93354,0.82948,0.90009,0.60068,1.08473,0.65682,1.0142,0.0015842,0.0015842,0.0015842
23,5418.52,1.20919,0.74067,1.00444,0.92969,0.84104,0.90713,0.61249,1.06951,0.61055,1.00361,0.0015644,0.0015644,0.0015644
