epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.454,1.30934,1.80743,1.12672,0.83202,0.74292,0.83323,0.47737,1.36425,1.03317,1.19473,0.000664011,0.000664011,0.000664011
2,226.147,1.39557,1.03068,1.17753,0.79508,0.71835,0.79383,0.44151,1.45529,1.14897,1.27154,0.0013175,0.0013175,0.0013175
3,329.706,1.39591,1.00466,1.18193,0.80118,0.71344,0.81179,0.50029,1.3116,1.13675,1.18731,0.0019578,0.0019578,0.0019578
4,432.28,1.38225,1.00176,1.16922,0.88664,0.81132,0.90201,0.54289,1.27111,0.86685,1.17571,0.0019406,0.0019406,0.0019406
5,534.493,1.3391,0.9294,1.14887,0.85844,0.83608,0.89421,0.53982,1.24224,0.79752,1.14506,0.0019208,0.0019208,0.0019208
6,636.306,1.28241,0.85223,1.10695,0.88044,0.83962,0.90371,0.55873,1.26508,0.7729,1.12898,0.001901,0.001901,0.001901
7,740.163,1.27682,0.82922,1.11576,0.88119,0.85967,0.92527,0.563,1.26001,0.77463,1.13784,0.0018812,0.0018812,0.0018812
8,841.081,1.25637,0.78646,1.10755,0.91529,0.85259,0.92576,0.57251,1.22106,0.73955,1.1237,0.0018614,0.0018614,0.0018614
9,942.096,1.24951,0.76312,1.09796,0.93349,0.85731,0.92498,0.58043,1.23683,0.71812,1.13048,0.0018416,0.0018416,0.0018416
10,1045.45,1.21257,0.74318,1.08999,0.90371,0.87382,0.92501,0.58697,1.20633,0.69629,1.10745,0.0018218,0.0018218,0.0018218
11,1148.74,1.21126,0.7292,1.08838,0.89252,0.89387,0.92873,0.58689,1.2282,0.69047,1.11217,0.001802,0.001802,0.001802
12,1249.45,1.19871,0.72093,1.08212,0.93365,0.88797,0.9461,0.60508,1.16127,0.6719,1.08503,0.0017822,0.0017822,0.0017822
13,1350.1,1.1808,0.69657,1.07014,0.93621,0.89033,0.95384,0.60681,1.17331,0.63599,1.09155,0.0017624,0.0017624,0.0017624
14,1449.87,1.18912,0.69225,1.07025,0.92676,0.89526,0.95036,0.62435,1.14123,0.61102,1.08101,0.0017426,0.0017426,0.0017426
15,1549.57,1.17667,0.68034,1.0774,0.92504,0.89269,0.94293,0.58799,1.20407,0.65532,1.10104,0.0017228,0.0017228,0.0017228
16,1649.23,1.17602,0.68242,1.06662,0.94226,0.88524,0.94729,0.60243,1.19307,0.642,1.09863,0.001703,0.001703,0.001703
17,1763.59,1.15617,0.6682,1.06201,0.926,0.91493,0.95474,0.63025,1.13156,0.58794,1.06772,0.0016832,0.0016832,0.0016832
18,1862.46,1.15618,0.6632,1.06014,0.90536,0.89121,0.93908,0.61024,1.18637,0.6769,1.10144,0.0016634,0.0016634,0.0016634
19,1961.52,1.15699,0.65818,1.05305,0.92514,0.90448,0.94877,0.63151,1.12985,0.58973,1.06876,0.0016436,0.0016436,0.0016436
20,2060.66,1.13745,0.64473,1.04717,0.93654,0.91509,0.95605,0.63605,1.11935,0.61924,1.06405,0.0016238,0.0016238,0.0016238
21,2159.51,1.14234,0.63997,1.06316,0.93851,0.91792,0.96224,0.64082,1.11172,0.57372,1.05882,0.001604,0.001604,0.001604
