epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,2258.7,1.13792,0.62003,1.0499,0.94704,0.92099,0.96503,0.6358,1.13138,0.54517,1.06935,0.0015842,0.0015842,0.0015842
23,2357.49,1.10942,0.60179,1.0346,0.94943,0.92978,0.96841,0.65286,1.10348,0.56433,1.04966,0.0015644,0.0015644,0.0015644
24,2456.36,1.12148,0.61448,1.04066,0.95071,0.93253,0.96746,0.65372,1.11253,0.55355,1.05552,0.0015446,0.0015446,0.0015446
25,2565.3,1.1219,0.61139,1.04592,0.93902,0.92335,0.96047,0.64856,1.09143,0.5514,1.04485,0.0015248,0.0015248,0.0015248
26,2663.95,1.10838,0.6088,1.03797,0.93052,0.92335,0.96197,0.64957,1.08978,0.56277,1.04428,0.001505,0.001505,0.001505
27,2764.72,1.09794,0.5904,1.03017,0.94688,0.9249,0.96177,0.64797,1.09984,0.53095,1.04898,0.0014852,0.0014852,0.0014852
28,2865.32,1.08852,0.58134,1.0262,0.93888,0.92453,0.96722,0.65693,1.09062,0.53915,1.04238,0.0014654,0.0014654,0.0014654
29,2964.02,1.10001,0.5815,1.03292,0.94872,0.9163,0.96159,0.64409,1.10081,0.54372,1.04669,0.0014456,0.0014456,0.0014456
30,3064.98,1.07824,0.56367,1.02362,0.94177,0.92217,0.96073,0.64221,1.1026,0.53569,1.04786,0.0014258,0.0014258,0.0014258
31,3166,1.08845,0.57298,1.02385,0.93587,0.93042,0.96584,0.66144,1.07799,0.52702,1.03956,0.001406,0.001406,0.001406
32,3264.67,1.07044,0.55622,1.02257,0.93936,0.93514,0.96505,0.65936,1.08984,0.52787,1.04302,0.0013862,0.0013862,0.0013862
33,3378.69,1.07664,0.56818,1.02548,0.95298,0.92099,0.9676,0.65723,1.08881,0.52145,1.03897,0.0013664,0.0013664,0.0013664
34,3477.43,1.06973,0.56251,1.02204,0.93051,0.93165,0.96471,0.65595,1.09112,0.51641,1.0513,0.0013466,0.0013466,0.0013466
35,3577.2,1.0605,0.55667,1.02245,0.94395,0.93868,0.97181,0.66762,1.09925,0.50585,1.04591,0.0013268,0.0013268,0.0013268
36,3675.95,1.04871,0.5478,1.01569,0.95132,0.93514,0.97264,0.66635,1.0791,0.50319,1.04091,0.001307,0.001307,0.001307
37,3776.87,1.0432,0.53323,1.00592,0.95039,0.9316,0.96647,0.6518,1.09142,0.50217,1.04162,0.0012872,0.0012872,0.0012872
38,3875.56,1.05864,0.53387,1.00751,0.94839,0.93185,0.9689,0.66182,1.06425,0.50638,1.03175,0.0012674,0.0012674,0.0012674
39,3974.27,1.06324,0.54602,1.0209,0.94466,0.95047,0.97269,0.65531,1.07125,0.50625,1.03696,0.0012476,0.0012476,0.0012476
40,4072.99,1.03717,0.52845,1.0139,0.94422,0.93818,0.97102,0.667,1.06435,0.4986,1.03498,0.0012278,0.0012278,0.0012278
41,4173.51,1.0436,0.53102,1.00838,0.94623,0.93632,0.97158,0.67438,1.05509,0.48308,1.02804,0.001208,0.001208,0.001208
42,4271.94,1.03227,0.52578,0.99984,0.95183,0.93986,0.97644,0.66893,1.07578,0.487,1.04113,0.0011882,0.0011882,0.0011882
43,4370.54,1.03364,0.52505,1.01035,0.95796,0.94043,0.97563,0.6714,1.07843,0.4776,1.04274,0.0011684,0.0011684,0.0011684
44,4468.99,1.01347,0.51266,1.00078,0.94595,0.94937,0.97499,0.6737,1.06409,0.4819,1.02905,0.0011486,0.0011486,0.0011486
45,4567.47,1.03625,0.5238,1.00746,0.95293,0.93632,0.97501,0.67852,1.06446,0.47391,1.03144,0.0011288,0.0011288,0.0011288
46,4665.94,1.02323,0.51627,1.00407,0.93765,0.93993,0.97158,0.67496,1.05403,0.47931,1.03162,0.001109,0.001109,0.001109
47,4764.21,1.03021,0.51088,1.00882,0.96031,0.92099,0.97541,0.67388,1.07501,0.4718,1.03415,0.0010892,0.0010892,0.0010892
48,4862.49,1.00448,0.49939,0.99617,0.95123,0.94296,0.97694,0.67654,1.0608,0.46635,1.03238,0.0010694,0.0010694,0.0010694
49,4973.61,1.00793,0.50121,0.99611,0.95582,0.94398,0.97363,0.67794,1.05506,0.4682,1.02414,0.0010496,0.0010496,0.0010496
50,5072.15,1.00782,0.50219,0.99569,0.95787,0.94222,0.97664,0.68076,1.04703,0.46035,1.02928,0.0010298,0.0010298,0.0010298
51,5170.64,0.99505,0.49218,0.99264,0.95233,0.93278,0.97285,0.67879,1.05071,0.45519,1.02412,0.00101,0.00101,0.00101
52,5271.36,0.99865,0.49447,0.99142,0.95592,0.9375,0.97305,0.68003,1.04907,0.4636,1.02573,0.0009902,0.0009902,0.0009902
53,5375.84,0.98615,0.5007,0.99206,0.95539,0.94693,0.97774,0.68412,1.04088,0.45917,1.02494,0.0009704,0.0009704,0.0009704
54,5475.8,0.99903,0.49153,0.98924,0.9624,0.93565,0.97558,0.68003,1.06336,0.45758,1.02923,0.0009506,0.0009506,0.0009506
55,5574.61,0.9859,0.49111,0.99167,0.97198,0.94092,0.97771,0.68309,1.05097,0.44996,1.03074,0.0009308,0.0009308,0.0009308
56,5674.09,0.97072,0.48018,0.9887,0.94691,0.93986,0.97467,0.67903,1.05902,0.46898,1.03471,0.000911,0.000911,0.000911
57,5793.8,0.97604,0.479,0.98641,0.95101,0.9385,0.97353,0.6808,1.05119,0.44781,1.02345,0.0008912,0.0008912,0.0008912
58,5893.61,0.97454,0.48132,0.985,0.93873,0.9434,0.97254,0.67849,1.0546,0.45673,1.02251,0.0008714,0.0008714,0.0008714
59,5993.87,0.96987,0.46885,0.98323,0.94582,0.93986,0.97485,0.68565,1.04018,0.44939,1.01909,0.0008516,0.0008516,0.0008516
60,6094.04,0.95979,0.46907,0.97846,0.95056,0.9522,0.97758,0.68883,1.04503,0.44394,1.02198,0.0008318,0.0008318,0.0008318
61,6216.11,0.96153,0.47189,0.98037,0.95412,0.95047,0.97432,0.68322,1.05897,0.43691,1.02055,0.000812,0.000812,0.000812
62,6316.53,0.94975,0.46765,0.97645,0.96708,0.93542,0.97905,0.69422,1.03726,0.4353,1.0171,0.0007922,0.0007922,0.0007922
63,6416.83,0.95485,0.46536,0.97345,0.95599,0.9477,0.97346,0.68549,1.03644,0.44061,1.01438,0.0007724,0.0007724,0.0007724
64,6517.78,0.94163,0.45672,0.97168,0.96509,0.9454,0.97674,0.68947,1.05009,0.44017,1.01503,0.0007526,0.0007526,0.0007526
65,6618.32,0.94176,0.45737,0.97799,0.96489,0.9434,0.9761,0.69101,1.05273,0.42903,1.01932,0.0007328,0.0007328,0.0007328
66,6721.06,0.93508,0.45262,0.96904,0.96204,0.95644,0.9794,0.69017,1.05224,0.43085,1.01924,0.000713,0.000713,0.000713
67,6821.06,0.92702,0.44802,0.97363,0.96843,0.94051,0.9785,0.69389,1.04041,0.43612,1.01221,0.0006932,0.0006932,0.0006932
68,6921.35,0.92158,0.45122,0.96574,0.96856,0.94442,0.97824,0.68792,1.04714,0.4308,1.01418,0.0006734,0.0006734,0.0006734
69,7039.01,0.92613,0.44662,0.96651,0.96849,0.93868,0.97835,0.69301,1.047,0.42553,1.01911,0.0006536,0.0006536,0.0006536
70,7138.67,0.91011,0.4384,0.96048,0.96634,0.9434,0.977,0.68619,1.0423,0.42498,1.01778,0.0006338,0.0006338,0.0006338
71,7238.77,0.91498,0.43493,0.96653,0.97059,0.93409,0.97745,0.69023,1.04897,0.42678,1.01813,0.000614,0.000614,0.000614
72,7338.87,0.91462,0.43957,0.95931,0.96585,0.94458,0.97743,0.69343,1.03847,0.42979,1.01532,0.0005942,0.0005942,0.0005942
73,7441.46,0.9027,0.431,0.96037,0.96185,0.95149,0.97597,0.68834,1.05302,0.4285,1.01707,0.0005744,0.0005744,0.0005744
74,7541.65,0.89194,0.43016,0.96205,0.95876,0.95165,0.9786,0.69082,1.05354,0.42289,1.02317,0.0005546,0.0005546,0.0005546
75,7641.96,0.88637,0.42482,0.95593,0.96291,0.949,0.97756,0.69329,1.0438,0.42213,1.01844,0.0005348,0.0005348,0.0005348
76,7742.89,0.89963,0.42575,0.95688,0.97244,0.93868,0.97957,0.69468,1.04396,0.4183,1.01408,0.000515,0.000515,0.000515
77,7843.72,0.90117,0.42667,0.96071,0.95975,0.95602,0.9768,0.69254,1.04513,0.4214,1.01665,0.0004952,0.0004952,0.0004952
78,7944.6,0.87563,0.41759,0.95126,0.96175,0.9487,0.9761,0.69515,1.04426,0.41288,1.01888,0.0004754,0.0004754,0.0004754
79,8046.15,0.87711,0.41771,0.95167,0.97202,0.94226,0.97734,0.69183,1.04555,0.42157,1.01409,0.0004556,0.0004556,0.0004556
80,8147.7,0.87519,0.40997,0.95384,0.96849,0.9434,0.97862,0.69368,1.04186,0.4206,1.02128,0.0004358,0.0004358,0.0004358
81,8253.6,0.86552,0.40924,0.94765,0.9569,0.95401,0.97888,0.69921,1.03461,0.41749,1.01505,0.000416,0.000416,0.000416
82,8355.33,0.86521,0.40468,0.95186,0.96386,0.9435,0.97699,0.69357,1.0474,0.41622,1.01742,0.0003962,0.0003962,0.0003962
83,8456.89,0.86511,0.40649,0.94443,0.96966,0.94213,0.97842,0.69934,1.04369,0.41288,1.01865,0.0003764,0.0003764,0.0003764
84,8558.79,0.85668,0.40196,0.94653,0.96839,0.93942,0.9771,0.69496,1.04652,0.4086,1.02019,0.0003566,0.0003566,0.0003566
85,8663.31,0.84878,0.3986,0.94565,0.9672,0.93878,0.97888,0.69583,1.04159,0.40978,1.01572,0.0003368,0.0003368,0.0003368
86,8764.64,0.85209,0.39635,0.94287,0.95727,0.94811,0.97871,0.70048,1.04541,0.40517,1.01701,0.000317,0.000317,0.000317
87,8866.54,0.85052,0.40436,0.9428,0.96286,0.94779,0.97914,0.70089,1.04193,0.4063,1.014,0.0002972,0.0002972,0.0002972
88,8968.05,0.84845,0.39387,0.94222,0.96745,0.94639,0.97775,0.70066,1.03543,0.40631,1.01325,0.0002774,0.0002774,0.0002774
89,9069,0.82727,0.38941,0.93948,0.96746,0.94929,0.97827,0.69839,1.03983,0.40682,1.01093,0.0002576,0.0002576,0.0002576
90,9172.41,0.83265,0.38837,0.93539,0.96743,0.94581,0.97758,0.69694,1.04098,0.40806,1.01423,0.0002378,0.0002378,0.0002378
91,9282.78,0.79821,0.3539,0.93075,0.97416,0.9336,0.9767,0.69294,1.04821,0.41095,1.01426,0.000218,0.000218,0.000218
92,9383.26,0.79364,0.34482,0.92495,0.96996,0.93986,0.97802,0.69715,1.04181,0.40748,1.01316,0.0001982,0.0001982,0.0001982
93,9500.72,0.78795,0.34312,0.92756,0.96987,0.94892,0.97852,0.70143,1.04378,0.40413,1.01386,0.0001784,0.0001784,0.0001784
94,9600.57,0.78801,0.34616,0.92673,0.96389,0.95283,0.97862,0.69943,1.04479,0.40885,1.014,0.0001586,0.0001586,0.0001586
95,9699.79,0.77217,0.34028,0.92157,0.95741,0.9543,0.9795,0.70367,1.04016,0.40534,1.01322,0.0001388,0.0001388,0.0001388
96,9801.97,0.76523,0.33155,0.91451,0.95111,0.95873,0.97962,0.70253,1.04342,0.40212,1.0131,0.000119,0.000119,0.000119
97,9916.9,0.76142,0.33155,0.92067,0.95349,0.95637,0.97929,0.70043,1.04261,0.40284,1.01384,9.92e-05,9.92e-05,9.92e-05
98,10021.5,0.75793,0.3314,0.91222,0.96174,0.94856,0.97935,0.70298,1.04157,0.40264,1.01425,7.94e-05,7.94e-05,7.94e-05
99,10122.6,0.75403,0.32972,0.91274,0.96747,0.94679,0.97925,0.7024,1.04283,0.40156,1.01424,5.96e-05,5.96e-05,5.96e-05
100,10225.9,0.75743,0.3293,0.91441,0.96857,0.94485,0.97905,0.70215,1.04219,0.40231,1.0139,3.98e-05,3.98e-05,3.98e-05
